"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.93497947510949","-3.08910979344633","4.07393038630515","7.47549381985924","-1.01921152192513","9.14274114007718","4.76622079417474","0.616713218243817","-3.15053479556273","8.95772483812387","4.21369628776971","1.4908946307052","12.4624890218238","14.2757064472561","-5.13205559312389","","","","",
"Andorra","AND","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","7.84602098547276","8.51792386862668","11.8495952707149","15.9451090391434","16.7817828348673","16.4899211162306","23.3830703506649","20.6310427078785","16.9316314977399","13.3548265751097","12.3511927236919","13.5823230726525","11.8842458575151","10.8647336244115","8.595479290724","10.8788167912666","5.94419811997817","5.93612628275795","6.89619406100005","7.3262512448464","6.93513934762035","6.71077135634141","4.53724108111955","3.87984206072977","4.93312982216932","0.797182777859689","2.22815149143882","1.49956164238432","2.7319769115482","4.51397982383108","2.77000001612026","3.39999994368576","2.88000003002782","3.34999998856276","3.10000003952899","3.20000001504049","3.86999996344369","3.18509869794595","","","","","",
"Afghanistan","AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7156723624295","11.2427293710249","10.9002680092522","7.17126074004246","22.382015777892","2.17910327402684","-2.10708253477121","9.43779475909578","10.5611392796313","8.3047608729492","3.76891592209003",
"Angola","AGO","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.1346266593475","7.65767505668448","2.29148783275741","15.9347828152498","10.858623914001","165.399580833487","252.740496547811","1253.28056822581","2124.60723711936","1895.2064929873","5399.52617238941","94.3195710012762","35.3168252062976","556.939256854253","418.232953854058","106.322492422387","142.478190784406","84.886474810724","39.7929424389169","26.8162938922542","13.0411796874506","12.6164324765322","19.681608967392","-7.41883844415169","22.393923531059","24.1671720079023","7.02764747663585","2.51111033906051",
"Albania","ALB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.17736010429088","-0.0176944875543938","-0.0167470585780478","-0.0283541351097512","0.351197093229885","-2.37800068668773","2.82592669975656E-05","1.56305716814131E-06","-1.6967628795328E-06","-0.468707661877616","38.5683425913576","249.683436748081","114.8356475471","38.4164948380059","5.57330743777045","28.4184834249891","13.9431007673984","13.5560081545347","4.47606852339335","4.32151112751026","3.45828095535936","3.30019587186332","3.38348607035354","6.00774467102181","3.46925219965664","1.99524122109682","1.98930358240918","3.69372717799095","2.4722095626981","4.70199009120911","1.86321652898536","1.3628712300594","0.789681014552187",
"Andean Region","ANR","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","1.38076220139504","2.20024702545977","6.55518521978603","2.51118786685981","11.613334407858","24.3947256977197","5.28426618474897","6.86602237775746","9.79471491224135","6.46492927616475","13.9878379721705","18.0301246273345","11.4534071110093","6.52926259419095","6.80479589743202","6.9812023091725","4.8595149050296","6.24528112426124","8.84202040085317","5.32200121556075","8.40270400019178","13.0637083808249","7.32365957030415","4.77808554811432","4.39998776692809","7.33118887562078","6.26210667533758","6.4393000138236","2.23944644707276","0.523492245823633","5.65333585947941","9.78565507522673","0.781420734456688","3.12063578699468","5.10811860865226","10.8097915115079","10.760887391304","8.49359166135324","6.43986261192489","14.8987372143574","-9.8266184858488","12.207228686112","14.3772895027776","5.20652100064142","2.46470366821663",
"United Arab Emirates","ARE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","11.7743313948867","5.25575608864375","-3.66111153140901","7.05102054466981","9.51597606318246","7.05448397756069","1.31286872992801","-3.61801720631486","-6.09746720021454","0.740532903487278","-1.69848532660133","3.68558481396219","2.38104574878859","1.75127658086774","3.33590053116832","0.810848729853689","1.80682609801383","1.27803630799019","-0.262474912127004","3.90747974050862","5.77304392158773","-0.952300729442598","-4.25444531184411","8.4433774506977","11.4595358015773","-2.34930766459048","3.77083954516183","4.0724067940058","8.5014220540065","16.526016881078","11.957075012285","12.5393412154707","18.5333578875213","-15.1558741748284","10.9477199431034","16.7535580733156","5.49386004719723","",
"Argentina","ARG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","20.3106975336481","28.87184161137","25.5911543520649","28.7746173517608","21.2329349174094","25.6034624194849","29.0182629475182","10.2753105424955","7.79583005476658","6.46787460964728","31.2710638868093","64.2447859502428","65.5352873679866","30.6304413617117","197.697364498816","438.322779813229","159.427177687849","161.372171992643","147.377044075279","90.840801604412","106.36409900024","207.61768137585","382.349434835889","606.735941195735","625.80214030237","74.4614934030767","127.086376406594","388.491338958763","3057.62883567322","2076.79347322213","132.953228142773","11.9207602419532","-1.46665994920733","24.5875238632124","3.16512356274798","-0.0523765071802131","-0.463912793152033","-1.70527916447276","-1.83655823976072","1.03728694418304","-1.09576720741511","30.5552034691825","10.495702197699","7.92573635273803","10.6201555452166","15.2838496766457","17.6382599586542","21.2137226978687","9.88450460837798","17.5136852897078","17.2045827906648","18.0551409671483","18.5436977259854",
"Armenia","ARM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3861042955971","568.807329969521","1391.16646056479","4107.29678609752","161.163917562694","19.5917703037548","17.73599450746","10.6984977480797","0.053804078495574","-1.37367599737229","4.06913993974796","2.36978781252253","4.5610983976887","6.30953271659584","3.23983625099177","4.61985766729214","4.23277038249938","5.98956236111323","2.55693505205004","7.76871548090337","4.28154999694075","-1.21570858392514","3.1913884471391",
