"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Benin","BEN","Land under cereal production (hectares)","AG.LND.CREL.HA","","531800","585468","553182","556454","519948","493391","543196","508454","493091","493826","446885","488973","500470","473845","403870","383638","432443","563890","539828","481650","553152","542482","585376","604468","625625","593932","552571","667296","661838","643859","668487","667314","680219","674452","675896","707595","784772","821252","838189","901324","881728","980254","907751","967615","1013628","829587","1006591","1095462","1060035","1110659","1044634","996200","",
"Burkina Faso","BFA","Land under cereal production (hectares)","AG.LND.CREL.HA","","1777392","1872821","1940525","1934100","1963000","2018500","2288401","1733214","2140460","2061898","1988087","1908554","1904280","2225750","2247300","1994000","2098896","2029709","2035662","1839110","2202721","2129170","2173976","1846796","2233598","2701884","2551189","2889595","2900530","2528900","2800600","2844000","2699678","2833071","2711913","2707855","2858017","2988490","2957438","2661349","3212574","3308691","3577488","3084961","3237581","3057328","3320950","4191339","3619256","4291496","3684446","3963000","",
"Bangladesh","BGD","Land under cereal production (hectares)","AG.LND.CREL.HA","","8639332","8855818","9170275","9364054","9492394","9208509","10036709","9931197","10545400","10146201","9531242","9857487","10094822","10012328","10549360","10123512","10278378","10371255","10507816","10817980","11143697","11181582","10423553","10895119","11233180","11304320","11036881","10935858","11153325","11140604","10954903","10860774","10642068","10632902","10683381","10994172","11062180","11020640","11680974","11672247","11485595","11588093","11500907","10978274","11176338","11178034","11152085","11930855","11909888","12093795","12574984","12478807","",
"Bulgaria","BGR","Land under cereal production (hectares)","AG.LND.CREL.HA","","2521386","2451390","2425275","2448730","2310600","2328375","2213008","2166840","2154263","2172992","2222151","2202120","2098266","2075355","2246457","2269586","2240961","2141680","2186389","2064114","2080033","2134550","2133798","2056324","1846596","2098370","1969203","2109569","2164286","2055264","2251875","2231626","2267696","2301694","2133732","1783266","2054766","2003256","1771884","1783922","2098008","2145075","1608437","1830123","1723955.3","1548456","1533406","1710749","1827434","1773670","1767719","1807100","",
"Bahrain","BHR","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Land under cereal production (hectares)","AG.LND.CREL.HA","","150","180","240","280","330","470","480","500","500","520","535","555","580","595","604","612","621","630","630","630","630","635","600","600","610","610","550","500","500","500","450","300","250","174","174","174","200","190","175","160","155","160","160","165","170","170","180","163","219","90","94","94","",
"Bosnia and Herzegovina","BIH","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304100","273728","235000","187200","237900","352483","381096","364394","364765","355432","341599","314624","324504","317350","312527","310427","310520","308836","286769","300208","301970","",
"Belarus","BLR","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2603000","2616400","2614400","2573600","2499000","2458500","2377300","2273000","2339000","2432200","2300300","2108493","2201996","2132959","2224894","2428644","2448756","2415484","2390329","2457095","2532493","",
"Belize","BLZ","Land under cereal production (hectares)","AG.LND.CREL.HA","","8129","5419","5550","7291","7842","8128","8102","8410","8785","11892","13357","14424","13042","15475","15782","16857","16106","13961","12909","13800","15432","14342","12718","14305","16630","13056","16300","17000","17720","14815","18455","18155","20477","19672","24346","22327","24998","21240","22200","19789","18466","23042","18929","19559","19450","19971","23856","24514","25229","32063","33155","34000","",
"Bermuda","BMU","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Land under cereal production (hectares)","AG.LND.CREL.HA","","431159","441960","475397","479702","432772","428936","392107","444767","464910","453355","463110","451760","456646","477335","519250","516695","536940","519405","526295","560535","589060","558838","476083","662023","728061","651475","649338","631546","624287","582495","664550","680232","724636","670717","698018","705745","680775","774802","832306","757864","742201","768443","744911","775942","861350","888530","983097","1018121","1014013","898946","941488","900365","",
"Brazil","BRA","Land under cereal production (hectares)","AG.LND.CREL.HA","","11168641","11522315","12565288","13107902","14247927","13523268","14493244","15119971","15774034","16821700","17674109","17468377","16803961","18023969","19309530","21558886","21283876","19860058","20861400","21080553","19893608","21903982","18083861","19502145","19702168","22404844","23456712","23082577","21970521","18512400","19821129","20564106","18293749","20072480","19752819","17471671","17791386","15780800","17431028","17244374","18137080","17877180","19929747","20426199","19312005","18423582","19543770","20818353","20080310","18600440","19216453","19557668","",
"Barbados","BRB","Land under cereal production (hectares)","AG.LND.CREL.HA","","380","358","376","284","300","400","430","610","730","660","600","760","760","765","765","765","765","765","765","800","800","800","800","880","800","820","820","840","840","860","800","700","600","500","400","300","250","200","150","115","96","83","100","94","95","100","105","95","128","90","90","100","",
"Brunei Darussalam","BRN","Land under cereal production (hectares)","AG.LND.CREL.HA","","2836","2831","2821","2600","2510","2448","3480","3480","3650","3456","2734","2473","2522","3363","3636","3680","2833","2410","2121","1991","1828","1596","1694","2100","873","721","1016","890","700","600","550","600","350","470","310","270","267","269","380","460","480","510","690","757","975","1095","1355","1300","1731","1848","1837","1900","",
"Bhutan","BTN","Land under cereal production (hectares)","AG.LND.CREL.HA","","68300","70400","72600","74500","76600","78600","80900","83900","85700","87700","89700","91600","93700","95800","97450","99800","101700","104000","107450","110950","112300","115017","120150","124030","120700","119800","118200","93040","93380","94799","92894","90757","97415","102284","105451","111179","113672","114308","108095","74170","79772","59031","59426","51405","82499","83943","95467","60554","66446","58577.96","65604.66","68789.24","",
"Botswana","BWA","Land under cereal production (hectares)","AG.LND.CREL.HA","","181860","49768","48460","41698","35172","80619","206775","99160","161765","182379","215194","83818","125250","160270","150270","191470","177300","127300","73700","193500","196900","67100","63200","63200","103000","118400","127300","288300","267500","204982","136753","77938","109151","247682","136599","277080","159280","60531","90956","189617","41627","96620","29609","97173","83120","117010","48987","101766","151760","134740","172997","149800","",
"Sub-Saharan Africa (IFC classification)","CAA","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Land under cereal production (hectares)","AG.LND.CREL.HA","","153500","154000","155000","131500","112000","106000","123000","114000","127000","129400","133000","143500","151810","201692","177461","182500","178000","156056","187340","191665","203789","214920","152200","132240","102860","149573","131796","128708","114578","110070","103543","95385","94983","116137","131307","145950","146000","152812","163180","170923","180552","184400","197956","211814","246548","264003","248704","248770","264307","172033","170213","154711","",
"Canada","CAN","Land under cereal production (hectares)","AG.LND.CREL.HA","","16985264","18340807","18556188","18664782","18625128","19599536","19802974","19840692","18334919","13531041","18114448","17843070","18757283","17874547","18081682","19646229","18641159","18477650","17688300","19318900","21676900","21480700","21521900","21101600","21709000","22161800","21544800","20231700","21922393","21547874","20868958","20176400","19448200","17965100","18276400","20566100","19177100","18325300","17513800","18209500","17733700","15174800","17824900","16161700","15846800","15946100","16226000","16541300","15027100","13115800","13385100","14148860","",
"East Asia and the Pacific (IFC classification)","CEA","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
